data_source,date,group,count
HuBMAP Datasets,2026-03-20,Unregistered,2604
HuBMAP Datasets,2026-03-20,Exempt,2155
HuBMAP Datasets,2026-03-20,Registered,11870
HuBMAP Datasets,2026-03-26,Unregistered,2604
HuBMAP Datasets,2026-03-26,Exempt,2155
HuBMAP Datasets,2026-03-26,Registered,11870
HuBMAP Datasets,2026-05-01,Unregistered,2604
HuBMAP Datasets,2026-05-01,Exempt,2155
HuBMAP Datasets,2026-05-01,Registered,11870
HuBMAP Datasets,2026-05-08,Unregistered,2604
HuBMAP Datasets,2026-05-08,Exempt,2155
HuBMAP Datasets,2026-05-08,Registered,11870
HuBMAP Datasets,2026-05-19,Unregistered,4438
HuBMAP Datasets,2026-05-19,Exempt,375
HuBMAP Datasets,2026-05-19,Registered,5964
HuBMAP Datasets,2026-06-05,Unregistered,4899
HuBMAP Datasets,2026-06-05,Exempt,375
HuBMAP Datasets,2026-06-05,Registered,6051
HuBMAP Datasets,2026-06-12,Unregistered,4911
HuBMAP Datasets,2026-06-12,Exempt,375
HuBMAP Datasets,2026-06-12,Registered,6067
HuBMAP Datasets,2026-06-26,Unregistered,5256
HuBMAP Datasets,2026-06-26,Exempt,375
HuBMAP Datasets,2026-06-26,Registered,6067
HuBMAP Datasets,2026-07-02,Unregistered,5262
HuBMAP Datasets,2026-07-02,Exempt,375
HuBMAP Datasets,2026-07-02,Registered,6157
HuBMAP Datasets,2026-07-31,Unregistered,5713
HuBMAP Datasets,2026-07-31,Exempt,263
HuBMAP Datasets,2026-07-31,Registered,6516
HuBMAP Blocks,2026-05-18,Unregistered,2592
HuBMAP Blocks,2026-05-18,Exempt,0
HuBMAP Blocks,2026-05-18,Registered,2589
HuBMAP Blocks,2026-05-19,Unregistered,2606
HuBMAP Blocks,2026-05-19,Exempt,0
HuBMAP Blocks,2026-05-19,Registered,2589
HuBMAP Blocks,2026-06-05,Unregistered,2604
HuBMAP Blocks,2026-06-05,Exempt,0
HuBMAP Blocks,2026-06-05,Registered,2590
HuBMAP Blocks,2026-06-12,Unregistered,2604
HuBMAP Blocks,2026-06-12,Exempt,0
HuBMAP Blocks,2026-06-12,Registered,2590
HuBMAP Blocks,2026-06-26,Unregistered,2604
HuBMAP Blocks,2026-06-26,Exempt,0
HuBMAP Blocks,2026-06-26,Registered,2590
HuBMAP Blocks,2026-07-02,Unregistered,2597
HuBMAP Blocks,2026-07-02,Exempt,0
HuBMAP Blocks,2026-07-02,Registered,2597
HuBMAP Blocks,2026-07-31,Unregistered,2431
HuBMAP Blocks,2026-07-31,Exempt,0
HuBMAP Blocks,2026-07-31,Registered,2763
SenNet Datasets,2026-02-06,Unregistered,1082
SenNet Datasets,2026-02-06,Exempt,2584
SenNet Datasets,2026-02-06,Registered,2186
SenNet Datasets,2026-02-13,Unregistered,1087
SenNet Datasets,2026-02-13,Exempt,2584
SenNet Datasets,2026-02-13,Registered,2181
SenNet Datasets,2026-02-19,Unregistered,929
SenNet Datasets,2026-02-19,Exempt,2667
SenNet Datasets,2026-02-19,Registered,2260
SenNet Datasets,2026-02-27,Unregistered,910
SenNet Datasets,2026-02-27,Exempt,2667
SenNet Datasets,2026-02-27,Registered,2269
SenNet Datasets,2026-03-06,Unregistered,910
SenNet Datasets,2026-03-06,Exempt,2667
SenNet Datasets,2026-03-06,Registered,2269
SenNet Datasets,2026-03-12,Unregistered,892
